City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
331,ceelbuur,4.685,46.6176,299.16,75,85,3.07,SO,1730680089
332,hithadhoo,-0.6,73.0833,300.76,72,39,4.44,MV,1730680090
333,tabou,4.423,-7.3528,298.32,89,29,2.63,CI,1730680091
334,vila franca do campo,37.7167,-25.4333,291.42,99,37,4.58,PT,1730680093
335,twon-brass,4.3151,6.2418,299.49,83,50,2.57,NG,1730680094
336,plastun,44.7561,136.2939,275.28,92,99,1.39,RU,1730680095
337,kargasok,59.0556,80.8572,276.75,86,100,4.67,RU,1730680096
338,nuuk,64.1835,-51.7216,268.49,80,75,2.57,GL,1730680097
339,namdrik,5.5994,168.1028,302.17,71,100,5.69,MH,1730680098
340,mokhsogollokh,61.4681,128.9203,254.35,93,100,0.58,RU,1730680099
341,tanjung pandan,-2.75,107.65,299.4,84,97,1.87,ID,1730680100
342,mersing,2.4312,103.8405,297.1,100,20,2.57,MY,1730680101
343,mountain home,43.133,-115.6912,280.86,62,0,5.66,US,1730680103
344,luza,60.6308,47.2512,268.41,92,96,2.71,RU,1730680104
345,burnie,-41.0667,145.9167,288.23,65,96,4.76,AU,1730680105
346,tenenkou,14.4572,-4.9169,301.17,19,98,3.24,ML,1730680106
347,chos malal,-37.3781,-70.2709,285.21,35,62,9.39,AR,1730680107
348,gao,16.6362,1.637,298.64,19,65,4.92,ML,1730680108
349,luumaki,60.9262,27.5814,272.36,83,73,4.28,FI,1730680109
350,nongstoin,25.5167,91.2667,287.27,58,0,2.11,IN,1730680111
351,ujae,8.9322,165.7642,301.27,78,100,7.18,MH,1730680112
352,patterson,37.4716,-121.1297,294.12,39,0,8.32,US,1730680113
353,berezovyy,51.6667,135.7,269.19,83,100,2.31,RU,1730680114
354,awjilah,29.1081,21.2869,293.04,55,62,2.17,LY,1730680115
355,tonj,7.2737,28.6822,297.36,61,85,0.93,SS,1730680117
356,mokolo,10.7398,13.8019,294.33,36,77,2.09,CM,1730680118
357,dogonbadan,30.3586,50.7981,290.2,63,0,0.0,IR,1730680119
358,kuopio,62.8924,27.677,271.12,86,0,5.66,FI,1730680120
359,mukalla,14.5425,49.1242,298.28,66,3,0.11,YE,1730680121
360,yarmouth,41.7057,-70.2286,273.34,93,0,0.0,US,1730680122
361,seguela,7.9611,-6.6731,296.52,74,0,0.8,CI,1730680123
362,ceerigaabo,10.6162,47.368,290.2,66,64,1.15,SO,1730680124
363,lautoka,-17.6167,177.4667,302.07,54,20,6.69,FJ,1730680125
364,vina del mar,-33.0246,-71.5518,286.86,76,75,2.06,CL,1730679966
